ENTITY ID | FRIENDLY NAME
--------------------------------------------------
binary_sensor.sun_solar_rising | Solare Zunahme
sensor.sun_next_dawn | Nächste Morgendämmerung
sensor.sun_next_dusk | Nächste Abenddämmerung
sensor.sun_next_midnight | Nächste Mitternacht
sensor.sun_next_noon | Nächster Höchststand
sensor.sun_next_rising | Nächster Aufgang
sensor.sun_next_setting | Nächster Untergang
sensor.sun_solar_elevation | Solare Elevation
sensor.sun_solar_azimuth | Solarer Azimut
sensor.sun_solar_rising | Solare Zunahme
sensor.home_assistant_core_cpu_percent | CPU Prozent
sensor.home_assistant_core_memory_percent | Arbeitsspeicher in Prozent
sensor.home_assistant_supervisor_cpu_percent | CPU Prozent
sensor.home_assistant_supervisor_memory_percent | Arbeitsspeicher in Prozent
sensor.home_assistant_host_os_agent_version | OS Agent Version
sensor.home_assistant_host_apparmor_version | AppArmor-Version
sensor.home_assistant_host_disk_total | Speicherplatz gesamt
sensor.home_assistant_host_disk_used | Speicherplatz genutzt
sensor.home_assistant_host_disk_free | Speicherplatz frei
sensor.home_assistant_operating_system_version | Version
sensor.home_assistant_operating_system_newest_version | Neueste Version
update.home_assistant_supervisor_update | Update
update.home_assistant_core_update | Update
update.home_assistant_operating_system_update | Update
event.backup_automatic_backup | Automatisches Backup
sensor.backup_backup_manager_state | Backup-Manager-Zustand
sensor.backup_next_scheduled_automatic_backup | Nächstes geplantes automatisches Backup
sensor.backup_last_successful_automatic_backup | Letztes erfolgreiches automatisches Backup
sensor.backup_last_attempted_automatic_backup | Letztes versuchtes automatisches Backup
media_player.wohnzimmer | Unknown
media_player.blinds | Unknown
binary_sensor.rpi_power_status | RPi Power status
sensor.sbht_003c_7ff9_packet_id | Packet Id
sensor.sbht_003c_7ff9_battery | Battery
sensor.sbht_003c_7ff9_humidity | Humidity
sensor.sbht_003c_7ff9_temperature | Temperature
sensor.sbht_003c_7ff9_signal_strength | Signal Strength
sensor.sbht_003c_b922_packet_id | Packet Id
sensor.sbht_003c_b922_battery | Battery
sensor.sbht_003c_b922_humidity | Humidity
sensor.sbht_003c_b922_temperature | Temperature
sensor.sbht_003c_b922_signal_strength | Signal Strength
person.reid15 | reid15
todo.einkaufsliste | Einkaufsliste
tts.google_translate_en_com | Google Translate en com
weather.forecast_home | Zuhause
binary_sensor.matter_server_aktiv | Aktiv
binary_sensor.duck_dns_aktiv | Aktiv
binary_sensor.file_editor_aktiv | Aktiv
sensor.matter_server_version | Version
sensor.matter_server_neueste_version | Neueste Version
sensor.matter_server_cpu_prozent | CPU Prozent
sensor.matter_server_arbeitsspeicher_in_prozent | Arbeitsspeicher in Prozent
sensor.duck_dns_version | Version
sensor.duck_dns_neueste_version | Neueste Version
sensor.duck_dns_cpu_prozent | CPU Prozent
sensor.duck_dns_arbeitsspeicher_in_prozent | Arbeitsspeicher in Prozent
sensor.file_editor_version | Version
sensor.file_editor_neueste_version | Neueste Version
sensor.file_editor_cpu_prozent | CPU Prozent
sensor.file_editor_arbeitsspeicher_in_prozent | Arbeitsspeicher in Prozent
update.matter_server_update | Update
update.duck_dns_update | Update
update.file_editor_update | Update
binary_sensor.mariadb_aktiv | Aktiv
sensor.mariadb_version | Version
sensor.mariadb_neueste_version | Neueste Version
sensor.mariadb_cpu_prozent | CPU Prozent
sensor.mariadb_arbeitsspeicher_in_prozent | Arbeitsspeicher in Prozent
update.mariadb_update | Update
binary_sensor.samba_share_aktiv | Aktiv
binary_sensor.advanced_ssh_web_terminal_aktiv | Aktiv
binary_sensor.mosquitto_broker_aktiv | Aktiv
sensor.samba_share_version | Version
sensor.samba_share_neueste_version | Neueste Version
sensor.samba_share_cpu_prozent | CPU Prozent
sensor.samba_share_arbeitsspeicher_in_prozent | Arbeitsspeicher in Prozent
sensor.advanced_ssh_web_terminal_version | Version
sensor.advanced_ssh_web_terminal_neueste_version | Neueste Version
sensor.advanced_ssh_web_terminal_cpu_prozent | CPU Prozent
sensor.advanced_ssh_web_terminal_arbeitsspeicher_in_prozent | Arbeitsspeicher in Prozent
sensor.mosquitto_broker_version | Version
sensor.mosquitto_broker_neueste_version | Neueste Version
sensor.mosquitto_broker_cpu_prozent | CPU Prozent
sensor.mosquitto_broker_arbeitsspeicher_in_prozent | Arbeitsspeicher in Prozent
update.samba_share_update | Update
update.advanced_ssh_web_terminal_update | Update
update.mosquitto_broker_update | Update
binary_sensor.growbox_cloud_verbindung | Cloud-Verbindung
binary_sensor.growbox_uberladen | Überladen
button.growbox_neu_starten | Neu starten
number.growbox_ausschalten_in | Ausschalten in
number.growbox_stromschutz | Stromschutz
sensor.growbox_signalpegel | Signalpegel
sensor.growbox_signalstarke | Signalstärke
sensor.growbox_ssid | SSID
sensor.growbox_ein_seit | Ein seit
sensor.growbox_gerateuhrzeit | Geräteuhrzeit
sensor.growbox_automatische_abschaltung_um | Automatische Abschaltung um
sensor.growbox_derzeitiger_verbrauch | Derzeitiger Verbrauch
sensor.growbox_heutiger_verbrauch | Heutiger Verbrauch
sensor.growbox_der_verbrauch_dieses_monats | Der Verbrauch dieses Monats
sensor.growbox_spannung | Spannung
sensor.growbox_stromstarke | Stromstärke
switch.growbox | Unknown
switch.growbox_automatische_abschaltung_aktiviert | Automatische Abschaltung aktiviert
switch.growbox_automatisches_update_aktiviert | Automatisches Update aktiviert
switch.growbox_led | LED
binary_sensor.buffet_lichtstreifen_cloud_verbindung | Cloud-Verbindung
binary_sensor.buffet_lichtstreifen_uberhitzt | Überhitzt
button.buffet_lichtstreifen_neu_starten | Neu starten
light.buffet_lichtstreifen | Unknown
select.buffet_lichtstreifen_lichtvoreinstellung | Lichtvoreinstellung
sensor.buffet_lichtstreifen_signalpegel | Signalpegel
sensor.buffet_lichtstreifen_signalstarke | Signalstärke
sensor.buffet_lichtstreifen_ssid | SSID
sensor.buffet_lichtstreifen_gerateuhrzeit | Geräteuhrzeit
switch.buffet_lichtstreifen_automatisches_update_aktiviert | Automatisches Update aktiviert
switch.buffet_lichtstreifen_fliessende_ubergange | Fließende Übergänge
binary_sensor.kleiderschrank_cloud_verbindung | Cloud-Verbindung
binary_sensor.kleiderschrank_uberhitzt | Überhitzt
button.kleiderschrank_neu_starten | Neu starten
light.kleiderschrank | Unknown
select.kleiderschrank_lichtvoreinstellung | Lichtvoreinstellung
sensor.kleiderschrank_signalpegel | Signalpegel
sensor.kleiderschrank_signalstarke | Signalstärke
sensor.kleiderschrank_ssid | SSID
sensor.kleiderschrank_gerateuhrzeit | Geräteuhrzeit
switch.kleiderschrank_automatisches_update_aktiviert | Automatisches Update aktiviert
switch.kleiderschrank_fliessende_ubergange | Fließende Übergänge
binary_sensor.bad_cloud_verbindung | Cloud-Verbindung
binary_sensor.bad_uberhitzt | Überhitzt
button.bad_neu_starten | Neu starten
light.bad | Unknown
select.bad_lichtvoreinstellung | Lichtvoreinstellung
sensor.bad_signalpegel | Signalpegel
sensor.bad_signalstarke | Signalstärke
sensor.bad_ssid | SSID
sensor.bad_gerateuhrzeit | Geräteuhrzeit
switch.bad_automatisches_update_aktiviert | Automatisches Update aktiviert
switch.bad_fliessende_ubergange | Fließende Übergänge
binary_sensor.bett_licht_cloud_verbindung | Cloud-Verbindung
binary_sensor.bett_licht_uberhitzt | Überhitzt
button.bett_licht_neu_starten | Neu starten
light.bett_licht | Unknown
select.bett_licht_lichtvoreinstellung | Lichtvoreinstellung
sensor.bett_licht_signalpegel | Signalpegel
sensor.bett_licht_signalstarke | Signalstärke
sensor.bett_licht_ssid | SSID
sensor.bett_licht_gerateuhrzeit | Geräteuhrzeit
switch.bett_licht_automatisches_update_aktiviert | Automatisches Update aktiviert
switch.bett_licht_fliessende_ubergange | Fließende Übergänge
binary_sensor.computer_licht_cloud_verbindung | Cloud-Verbindung
button.computer_licht_neu_starten | Neu starten
light.computer_licht | Unknown
select.computer_licht_lichtvoreinstellung | Lichtvoreinstellung
